grupo_edad,origen,sexo,year,total,provincia_id
65 y más,Extranjeros,Hombres,2020,493.0,26
65 y más,Extranjeros,Mujeres,2020,824.0,26
0-15 años,Españoles,Hombres,2020,19531.0,37
0-15 años,Españoles,Mujeres,2020,18446.0,37
0-15 años,Extranjeros,Hombres,2020,984.0,37
0-15 años,Extranjeros,Mujeres,2020,1056.0,37
16-64 años,Españoles,Hombres,2020,94954.0,37
16-64 años,Españoles,Mujeres,2020,93834.0,37
16-64 años,Extranjeros,Hombres,2020,5675.0,37
16-64 años,Extranjeros,Mujeres,2020,6468.0,37
65 y más,Españoles,Hombres,2020,38478.0,37
65 y más,Españoles,Mujeres,2020,49109.0,37
65 y más,Extranjeros,Hombres,2020,307.0,37
65 y más,Extranjeros,Mujeres,2020,403.0,37
0-15 años,Españoles,Hombres,2020,65611.0,38
0-15 años,Españoles,Mujeres,2020,62298.0,38
0-15 años,Extranjeros,Hombres,2020,8587.0,38
0-15 años,Extranjeros,Mujeres,2020,8258.0,38
16-64 años,Españoles,Hombres,2020,307166.0,38
16-64 años,Españoles,Mujeres,2020,305179.0,38
16-64 años,Extranjeros,Hombres,2020,53491.0,38
16-64 años,Extranjeros,Mujeres,2020,56153.0,38
65 y más,Españoles,Hombres,2020,69281.0,38
65 y más,Españoles,Mujeres,2020,89531.0,38
65 y más,Extranjeros,Hombres,2020,9355.0,38
65 y más,Extranjeros,Mujeres,2020,9977.0,38
0-15 años,Españoles,Hombres,2020,9180.0,40
0-15 años,Españoles,Mujeres,2020,8708.0,40
0-15 años,Extranjeros,Hombres,2020,1746.0,40
0-15 años,Extranjeros,Mujeres,2020,1631.0,40
16-64 años,Españoles,Hombres,2020,43541.0,40
16-64 años,Españoles,Mujeres,2020,39784.0,40
16-64 años,Extranjeros,Hombres,2020,6839.0,40
16-64 años,Extranjeros,Mujeres,2020,7170.0,40
65 y más,Españoles,Hombres,2020,15484.0,40
65 y más,Españoles,Mujeres,2020,18816.0,40
65 y más,Extranjeros,Hombres,2020,243.0,40
65 y más,Extranjeros,Mujeres,2020,336.0,40
0-15 años,Españoles,Hombres,2020,168975.0,41
0-15 años,Españoles,Mujeres,2020,159568.0,41
0-15 años,Extranjeros,Hombres,2020,5397.0,41
0-15 años,Extranjeros,Mujeres,2020,5264.0,41
16-64 años,Españoles,Hombres,2020,610721.0,41
16-64 años,Españoles,Mujeres,2020,611500.0,41
16-64 años,Extranjeros,Hombres,2020,28753.0,41
16-64 años,Extranjeros,Mujeres,2020,33535.0,41
65 y más,Españoles,Hombres,2020,137422.0,41
65 y más,Españoles,Mujeres,2020,185746.0,41
65 y más,Extranjeros,Hombres,2020,1427.0,41
65 y más,Extranjeros,Mujeres,2020,1911.0,41
0-15 años,Españoles,Hombres,2020,5172.0,42
0-15 años,Españoles,Mujeres,2020,4877.0,42
0-15 años,Extranjeros,Hombres,2020,755.0,42
0-15 años,Extranjeros,Mujeres,2020,724.0,42
16-64 años,Españoles,Hombres,2020,25112.0,42
16-64 años,Españoles,Mujeres,2020,22933.0,42
16-64 años,Extranjeros,Hombres,2020,3427.0,42
